Name,Date,Category,Address,Phone,Email,Website,Short description,Description,Crops,Processed products,Cropped_acreage,Total_acreage
Cooper Mountain Vineyards,2018-10-29,Biodynamic | Vineyard | Winery | ,"20121 SW Leonardo Lane
Beaverton, OR 97007, United States",503-649-0027,info@coopermountainwine.com,coopermountainwine.com,"
           “Wine is memory of land. ”
           
         ","In 1978 Cooper Mountain Vineyards began a quest that has brought us to more than 100 acres of pinot noir, pinot gris and chardonnay in the Northern Willlamette Valley. We invite you to be apart of that story.","Fruit, Grapes For Wine","Wine, Wine Red, Wine Rosé, Wine White",,
Cowhorn Vineyard & Garden,2018-10-29,Vineyard | Farm | Winery | ,"1665 Eastside Road
Jacksonville, OR 97530, United States",541-899-6876,contact@cowhornwine.com,www.cowhornwine.com,"
           “Wine is a living thing, and when a vintage is in its first few weeks the whole winery is like a kindergarten: you just keep moving from child to child – or tank to tank – and make sure each one is happy and on the right path.”
           ","Recently in 2013, the 2009 COWHORN Syrah was awarded Best of the West in Sunset Magazine, the 2009 COWHORN Reserve Syrah was named 50 Best Wines by Portland Monthly Magazine, the 2012 COWHORN Spiral 36 was listed on the 2013 Top 100 Wines by Jon Bonné and the San Francisco Chronicle, and the 2012 COWHORN Marsanne Roussanne was listed in David Schildknecht's Guide to the Best of 2013 on Robert Parker's Wine Advocate website. In addition, Robert Parker’s The Wine Advocate rated five COWHORN wines 92+ points in 2013, after rating seven earlier vintages 91+ points in 2012. In 2011, the 2009 COWHORN Viognier was added to Paul Gregutt’s Top 100 Pacific Northwest Wines list.","Fruit, Apples, Cherries, Grapes For Wine, Pears, Persimmon, Plums, Vegetables, Asparagus Green, Nuts, Hazelnuts","Wine, Wine Red, Wine Rosé, Wine White",Cropped: 30 Acres,Total Acreage: 117 Acres
Bonterra Vineyards,2018-10-29,Vineyard | Winery | ,"2231 McNab Ranch Road
Ukiah, CA 95482, United States",707-744-7601,www.bonterra.com,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","At Bonterra, we passionately believe that organic and Biodynamic grapes make better wine. Bonterra has been producing wine from 100% organically grown grapes since 1993 and Biodynamic grapes since 2004. All of our grapes are grown with the utmost respect for the land, animals, people and systems that surround them taking into account the balance of the entire ecosystem. Our practices produce grapes that offer a quality of fruit and vibrancy of taste that allows us to create wines that express the purity and intensity of each varietal’s unique character. You can taste our natural commitment to producing the wines of great taste and excitement in every sip of Bonterra, which is why we believe they are among the very best you’ll experience.","Fruit, Apples, Apricots, Grapes For Wine, Nectarines, Olives, Peaches, Pears, Plums, Herbs And Spices, Lavender",,,
Brick House Vineyards,2018-10-29,Vineyard & winery | ,"18200 Lewis Rogers Lane
Newberg, OR 97132, United States",503-538-5136,info@brickhousewines.com,brickhousewines.com,"
           “We need cow horns to do this work, but that doesn’t mean we should become bull-headed in advocating it.”
           ","Take our compost, for instance : Grape pomace – solids, seeds and stems left from making our wines – is combined with straw, hay, leaf refuse, garden cuttings and other carbonaceous material and mixed with organic cow manure to form large, static piles of compost. There the remnants of the first fermentation (that turned grape juice into wine) undergo a form of second ferment; with the help of worms instead of yeast, bacteria and other micro-organisms, these mounds of refuse come alive, generating temperatures in excess of 160 degrees F. They include the Biodynamic® preparations of camomile, oak bark, valerian, dandelion flowers, yarrow and stinging nettle. The result over time is rich, dark compost laden with nutrients and microbes that deliver vitality to our plants for yet another season…and another vintage.","Fruit, Grapes For Wine","Wine, Wine Red, Wine Rosé, Wine White",,
Dark Horse Vineyard & Farming Company,2018-10-29,Farm | ,"5341 Old River Road
Ukiah, CA 95482, United States",707-391-7554,paul@pauldolan.com,,"
           “Each and every farm has its own unique personality. The role of the farmer is to listen for and to support the farm's expression”
           ","Dark Horse Vineyard & Farming Company is a Biodynamic farm, vineyard and garden.  We grow grapes and olives, and also raise sheep and cows.  Our farming philosophy is that raising a Biodynamic grape vine is like raising a child.  As parents we recognize our role is not to control, but rather simply to contribute to the health of the space in which the child grows, with great anticipation that the child will be fully expressed at maturity. Our grape varietals are all red: Syrah, Grenache, Mouvedre, Cabernet, Zinfandel and Petite Sirah.","Fruit, Grapes For Wine",,Cropped: 68  Acres,Total Acreage: 150 Acres
Brooks Winery,2018-10-29,Biodynamic | Vineyard | Winery | ,"9360 SE Eola Hills Rd.
Amity, OR 97101, United States",(503) 435-1278,janie@brookswine.com,www.brookswine.com/,"
           “If the vine is happy, the grapes simply taste better. I believe that farming in this way, by keeping the earth alive and the ecosystem intact, is the only way to really achieve that concept of terroir.”
           ","Life too, like a vineyard, has a cycle. In 2004, Jimi passed away at age 38, leaving his young son Pascal as sole owner of Brooks Wine. Winemaker friends who’d gathered at his memorial service compelled the family to carry on the winery and Jimi’s philosophy. A dozen of Oregon’s top winemakers saw the 2004 vintage through, and in 2005, Chris Williams (Jimi’s assistant) became Head Winemaker; Jimi’s sister, Janie Brooks Heuck, took over the role of Managing Director, completing the circle of Brooks’ core values of friendship, family and spirit. That these values are reflected in the way our farming is handled is no surprise; our appreciation of the interrelatedness of everything in life is why we are so attuned to the precepts of Demeter farming.","Fruit, Grapes For Wine","Wine, Wine Red, Wine White",Cropped: 19 Acres,Total Acreage: 24 Acres
"DaVero Sonoma, Inc.",2018-10-29,Farm | Winery | ,"1195 Westside Road
Healdsburg, CA 95448, United States",707-431-8000,davero.com,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","Recognizing that we live in one of the seven Mediterranean climates in the world, we have focused on Italian grape and olive varietals -- and the results speak for themselves.","Fruit, Apples, Blackberries, Cherries, Figs, Grapes For Wine, Lemons, Olives, Oranges, Peaches, Pears, Plums, Pomegranates, Quinces, Raspberries, Satsumas, Vegetables, Melons, Herbs And Spices, Lavender, Rose, Sage",,Cropped: approximately 50 Acres,Total Acreage: 90 Acres
DeLoach Vineyards,2018-10-29,Vineyard | Winery | ,"1791 Olivet Road
Santa Rosa, CA 95401, United States",707.755.3309,winestore@deloachvineyards.com,www.deloachvineyards.com,"
           “At DeLoach Vineyards, we consider ourselves stewards of the land, with a profound responsibility to pass along a clean environment and revitalized, healthy soil to future generations. ”
           ","A pioneering producer and winegrower of Pinot Noir, Chardonnay and Zinfandel in Sonoma’s Russian River Valley, DeLoach Vineyards has been experimenting with and perfecting the best combinations of soil, rootstock and clones for over three decades. Recipient of numerous awards, among them, a 12-time Wine & Spirits Magazine ""WInery of the Year"".","Fruit, Grapes For Wine",,Cropped: 17 Acres,Total Acreage: 20 Acres
Filigreen Farm,2018-10-29,,"11600 Anderson Valley Way
Boonville, CA 95415, United States",707-895-2111,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Apples, Blueberries, Figs, Grapes Table, Grapes For Wine, Olives, Peaches, Pears, Plums, Vegetables, Beetroot, Carrots, Cucumbers, Kale, Lettuce, Leek, Melons, Pepper Capsicum, Tomatoes, Turnips, Herbs And Spices, Basil, Parsley, Other Crops, Flowers, Other Annual Crops, Other Permanent Crops","Nuts And Dried Fruits, Prunes, Oils And Fats, Olive Oil",,
"Frey Vineyards, Ltd.",2018-10-29,Vineyard | Farm | Winery | ,"14000 Tomki Road
Redwood Valley, CA 95470, United States",707-485-5177,info@freywine.com,www.freywine.com,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","We have always been family-owned and operated, and today a third generation helps with the production of fine organic and Biodynamic® wines in a tradition of sustainability started 30 years ago. Our vineyards and winery are nestled on the slopes of Redwood Valley in Mendocino County, California, at the headwaters of the Russian River. All of our wines are made with no added sulfites. Our innovative winemaking techniques allow the wine to reveal its delicate and true flavors. Today, we are pleased that many more wineries and grape growers have become certified organic and Biodynamic®, for the health of our common environment as well as our customers.","Fruit, Grapes For Wine","Wine, Wine Red, Wine White",,
Golden Vineyards,2018-10-29,,"14251 Old River Road
Hopland, CA 95449, United States",707-485-8885,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine, Olives","Oils And Fats, Olive Oil",,
Harms Vineyards & Lavender Fields,2018-10-29,Farm and On-Farm Processor of Fruits and Herbs | Agriculture Education | Vineyard | Farm | ,"3185 Dry Creek Road
Napa, CA 94558, United States",707-257-2602,info@harmslavender.com,harmslavender.com,"
           “My husband just had triple bypass surgery, and, of course, I brought my lavender oil with me to the hospital.  The nurses in ICU asked me whether the smell was lotion.  When I told them it was lavender oil, they each commented separately that they had never smelled anything like it.  “Usually that stuff smells fake.”  So I’m going to give each of them a bottle of it— everyone deserves a treat!”
           ","We grow chardonnay grapes as well as lavender, rosemary, rose geranium, helichrysum italicum and are excitedly awaiting our first bumper crop of fuyu persimmons. Most of our lavender is Grosso, a lavendin, a hybrid of spike lavender and English lavender. It has about 16 times the amount of oil as true English lavender, which makes it ideal for dried flowers. We are experimenting with an English lavender developed in Oregon, Buena Vista, to see how it survives our winters. We dry some of the lavender and Donald estate distills the aromatics. We sell the hydrosols to small cosmetic makers as well as wholesale to local stores and we have a store on the internet. Once a year when the lavender is in full bloom we have an Open House, which we announce on our website. (2014 we are taking a break due to replanting of significant amounts of lavender.)","Fruit, Apples, Apricots, Figs, Grapes For Wine, Pears, Persimmon, Plums, Pomegranates, Herbs And Spices, Lavender, Medicinal Herbs, Rosemary, Verbena, Other Crops, Flowers","Beauty Spa Products, Bath Additives, Cosmetic And Personal Care Products, Other Body Care Products, Essential Oils, Lavender Oil, Herbs And Spices And Salt, Other Herbs",Cropped: 8 Acres,Total Acreage: 41 Acres
Hawk & Horse Vineyards,2018-10-29,Vineyard | ,"13048 Highway 29
Lower Lake, CA 95457, United States",707-696-4838 or 707/481-6941,tracey@hawkandhorsevineyards.com,hawkandhorsevineyrds.com,"
           “...Hawk and Horse Vineyards is at the forefront of two important changes in California.  First, the rise of organic and...Biodynamic farming.  Secondly, they showcase the ability of wineries in lesser known regions to produce world class Cabernet Sauvignon.”
           ","We are a family owned and operated vineyard and ranch practicing Biodynamic viticulture on a historic property in the Red Hills AVA of Lake County, CA.  We specialize in Cabernet Sauvignon.  We offer ranch and vineyard tours by appointment.","Fruit, Grapes For Wine",,"Cropped: 18 acres to wine grapes (Cabernet Sauvignon, Petite Verdot, Cabernet Franc, Petit Syrah.) Acres","Total Acreage: 1,300  Acres"
Hedges Family Estate,2018-10-29,Vineyard | Winery | ,"53511 North Sunset
Benton City, WA 99320, United States",509-588-3166,boo@hedgesfamilyestate.com,hedgesfamilyestate.com,"
           “Our wine is history, family, employees, animals...a reflection of the entire culture of the estate.”
           ","With their 25th vintage now in barrel, Tom and Anne-Marie Hedges can look back at their pioneering efforts to help establish the modern Washington wine industry, and specifically their efforts in establishing the renowned Red Mountain American Viticultural Area.  Beginning as negociants selling their first Hedges branded Columbia Valley wine to the Swedish government, the Hedges quickly realized the importance of site for producing great wines, and purchased a fifty-acre parcel on the dusty southwest slope of Red Mountain, a barely known growing region at the time. More than two decades later, their now 125 acres of Red Mountain vineyard land is the heart of the Hedges family’s wines.  The eldest born of Tom and Anne-Marie, Christophe, is general manager and head of international sales.  Their daughter, Sarah, is the head winemaker.","Fruit, Grapes For Wine","Wine, Wine Red",,
Keeler Estate Vineyard,2018-10-29,Retail/Wholesale | Organic Beverages | Biodynamic | Farm | Vineyard | Winery | ,"5100 SouthEast Rice Lane
Amity, OR 97101, United States",503-550-0308,info@keelerestatevineyard.com,www.keelerestatevineyard.com,"
           “Keeler Estate Vineyard, using sustainable practices to create wines with a strong sense of place.”
           ","Here, in the heart of Oregon’s famed Willamette Valley, is the realization of Gabriele and Craig Keeler’s commitment to the beauty and potential of their unique place on the southwest slope of the Eola-Amity Hills AVA. Ideally situated with sweeping valley views, the vines of Keeler Estate Vineyard receive maximum sun exposure for powerful fruit ripening during the day, and the acidity-retaining blessings of cool evening breezes channeled from the coast through the nearby Van Duzer Corridor. With care and devotion, as embodied in their certified organic and biodynamic farming, the Keelers have created an emotionally moving, and yet warmly relaxing experience for visitors. Land, vine, wine and intention all come together at Keeler Estate Vineyard.","Fruit, Grapes For Wine","Wine, Wine Rosé, Wine White",Cropped: 38 Acres,Total Acreage: 200 Acres
Jacob Hart Vineyard,2018-10-29,Biodynamic | Vineyard | Farm | ,"16625 NE Hillside Drive
Newberg, OR 97115, United States",503-538-0666,info@REXHILL.com,www.rexhill.com/Winery---Vineyards/Jacob-Hart-Vineyard,"
           “Jacob-Hart is one of the rockiest vineyard sites in Oregon. The 'soil' is brutally hard on the men and equipment, but some of the most unique and distinctive wines in Oregon are created from that severity. It's amazing to see year in and year out wines of power, depth, complexity and elegance issue forth from the challenging terroir that is Jacob-Hart.”
           ","Every vineyard has a story to tell. The French call it terroir, which refers to a sense of place, the sum of the geographical effects that influence the grape and in the end, the wine made from it. The Jacob-Hart Vineyard is no exception; it is an excellent storyteller if you know how to listen. Named in honor of REX HILL's founders, Jan Jacobsen & Paul Hart, the Jacob-Hart Vineyard was purchased in 1987. An old turkey farm, the land found tangible results growing grapes. Located on a warm southeast facing slope of the Chehalem Ridge, fruit at this vineyard is harvested a week or two before other REX HILL Pinot Noir sites. This beautiful vineyard offers both volcanic and sedimentary soils; to have both soil types in one vineyard is extremely unusual in the Willamette Valley. In places, the earth is so rocky that the vines were planted using a pickaxe instead of a shovel and it cannot be farmed with a tractor. These prized blocks produce the exceptional fruit that comprises Jacob-Hart Vineyard selections while most of the remainder provides the basic structure for our Reserve wines.","Fruit, Grapes For Wine",,,
Johan Vineyards,2018-10-29,Vineyard | Winery | ,"4285 North Pacific Highway (99w)
Rickreall, OR 97371, United States",866-379-6029,info@johanvineyards.com,www.johanvineyards.com,"
           “To me, biodynamic farming is a strive to avoid monoculture and promote the diversity of the whole farm through plant-, microbial-, insect- and animal diversity”
           ","We are diligent. Our wines are inspired. We believe Oregon is a special place to make wine and we believe in our vineyards. We admire Burgundy, but we are not French and neither are our wines. We are not certain why we do everything we do, we can only say with confidence that we love wine and feel compelled to be involved.  The work of others in this field inspires us to continue our journey to produce Oregonian wines. In return we hope to inspire others with our work.","Fruit, Grapes For Wine, Fodder And Grassland, Fodder Crops, Rough Grazing, Other Crops, Other Permanent Crops","Wine, Wine Red, Wine White",Cropped: 62 Acres,Total Acreage: 175 Acres
"Jack Rabbit Hill, LLC",2018-10-29,Vineyards/hopyards/livestock/winery/distillery | ,"26567 North Road
Hotchkiss, CO 81419, United States",970-361-4249,anna@jackrabbithill.com,www.jackrabbithill.com,"
           “You see a magnetic needle. You discern that it always points with one end approximately to the North, and with the other to the South.   You think, why is it so?  You look for the cause, not in the magnetic needle, but in the whole Earth, inasmuch as you assign to the one end of the Earth the magnetic North Pole, and to the other the magnetic South.”
           ","Jack Rabbit Hill Farm is 70-acre diversified farm near Hotchkiss in western Colorado, and is the home of Jack Rabbit Hill estate wines, Peak Spirits Distillery-makers of CapRock, WineTapistry keg wines for restaurants, and Jack Rabbit Hops for craft brewers.","Fruit, Grapes For Wine, Other Crops, Hops","Wine, Wine Red, Wine White",Cropped: 30 Acres,Total Acreage: 71 Acres
Maboroshi Vineyard,2018-10-29,,"2970 Thorn Road
Sebastopol, CA 95472, United States",707-829-1216,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine",,,
Martian Ranch & Vineyard,2018-10-29,Winery | ,"9110 Alisos Canyon Road
Los Alamos, California 93440, United States",805.344.1804,admin@martianvineyard.com,www.martianvineyard.com,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","Today, Martian Ranch & Vineyard is a Demeter Certified, biodynamically farmed Estate winery, with 20 acres of vines planted to 10 different grape varieties, each perfectly suited to the climate of the ranch.  The vineyards were planted in 2008 under the guidance of biodynamic consultant Philippe Armenier, with the first Estate vintage in 2011.  Martian Ranch is known for carefully farmed, vibrant and lower-alcohol wines, with Eric Bolton now at the helm as winemaker. Estate varieties are Albariño, Grenache Blanc, Viognier, Clairette, Gamay Noir, Mourvèdre, Grenache Noir, Syrah, Cabernet Franc, and Tempranillo - about 2 acres planted of each.","Fruit, Grapes For Wine",,Cropped: 20 acres planted to vines. Acres,Total Acreage: 102 total acres to the Ranch. Acres
Mattern Vineyards,2018-10-29,,"2401 Tinadall Ranch Road
Ukiah, CA 95482, United States",707-272-4064,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine",,,
Pearl Vineyard,2018-10-29,Biodynamic | Farm | Vineyard | ,"9315 NE Red Hills Road
Dundee, OR 97115, United States",503-538-0666,Ryan@REXHILL.com,www.REXHILL.com,"
           “Pearl, year in and year out, produces wine that is classic Dundee Hills Pinot Noir - red fruit, minerals, spice, clean earth and a beautiful and balanced structure. The wines are age worthy, complex and elegant. One might even say sexy...”
           ","The Pearl Vineyard, named after our first Scottish Highland cow, was first planted in 2002 by Cheryl Francis & Sam Tannahill on the coveted Jory soils in the Red Hills of Dundee, achieving first crop in 2005. The 5-acre vineyard is home to a field blend of 18 different rootstocks and clones of Pinot Noir, designed to all be fermented together to increase complexity and depth of flavor. The vineyard itself sits on a 10-acre farm that also grows olives, apples, walnuts, plums, cherries and various other berries and fruits. The vineyard has been farmed to Biodynamic tenets since 2000 and was Demeter and Organic (Stellar) certified in 2005. We create our own compost for this vineyard as well as all of the Biodynamic preparations. There are three distinct sites within this small vineyard with varying amounts of topsoil and fractured Basalt. Each block is planted with a rootstock that will help the vine prosper in their unique situation.","Fruit, Grapes For Wine",,Cropped: 5.12 Acres,Total Acreage: 10 Acres
Montinore Estate,2018-10-29,Vineyard | Winery  | Vineyard & winery | Biodynamic | Vineyard | Winery | ,"3663 SW Dilley Road
Forest Grove, OR 97116, United States",503-359-5012,info@montinore.com,www.montinore.com,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","The majority of grapes used in our wines come from our home estate vineyard. Planted in 1982, Montinore Estate is a 200-acre Demeter Certified Biodynamic® and Stellar Certified Organic estate that lies at the northern end of the Willamette Valley appellation and along the east-facing slope of the Coastal Range foothills in Oregon. In addition to the certifications, we use dry farming and sustainable growing practices. This is an ideal site for the nine grape varieties we grow here: Pinot Noir, Pinot Gris, Gewürztraminer, Riesling, Müller-Thurgau, Teroldeg, Lagrein, Muscat and Sauvignon Blanc.","Fruit, Grapes For Wine","Wine, Wine Red, Wine Rosé, Wine White",Cropped: 200 Acres,Total Acreage: 586 Acres
Porter-Bass Vineyards,2018-10-29,,"11750 Mays Canyon Road
Guerneville, CA 95446, United States",707-869-1475,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine, Olives",,,
Porter Creek Vineyards,2018-10-29,,"8735 Westside Road
Healdsburg, CA 95448, United States",707-433-6321,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine","Wine, Wine Red, Wine White",,
Preston Vineyards,2018-10-29,Vineyard & winery | Farm | ,"9282 West Dry Creek Rd
Healdsburg, CA 95448, United States",707-433-3372,MAIL@PRESTONVINEYARDS.COM,WWW.PRESTONVINEYARDS.COM,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","Organic and Biodynamic farm and winery. We welcome visitors to our tasting room, picnic grounds and farm store. We raise lambs and chickens. We grow fruits, vegetables and herbs. In addition to our wine, we also produce a sparkling hard apple cider.","Fruit, Apples, Figs, Grapes Table, Grapes For Wine, Guava, Olives, Peaches, Pears, Persimmon, Pineapples, Plums, Pomegranates, Quinces, Raspberries, Strawberries, Vegetables, Nuts, Walnuts, Grains, Barley, Rye, Spelt, Wheat",,,
Narrow Gate Vineyards,2018-10-29,,"4282 Pleasant Valley Road
Placerville, CA 95667, United States",530-644-6201,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine","Wine, Wine Red, Wine Rosé, Wine White",,
