acreage,address,category,crops,date,email,link,name,phone,processed_products,profile,website
,"11600 Anderson Valley Way
Boonville, CA 95415",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/filigreen-farm,Filigreen Farm,,,,
,"Post Office Box 1769
Nevada City, CA 95959",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/flower-essence-services,Flower Essence Services,,,,
,"105 Eagle Nest Road
Mount Shasta, CA 96067",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/flower-of-life-farm,Flower of Life Farm,,,,
,"575 Eighth Avenue Fl 23
New York, NY 10018",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/food-match-inc,Food Match Inc.,,,,
,"56 Adams Street
Brooklyn, NY 11201",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/forager-s-chelsea-llc,Forager's Chelsea LLC.,,,,
,"8905 Highway 329
Crestwood, KY 40014",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/foxhollow-farm,Foxhollow Farm,,,,
,"14000 Tomki Road
Redwood Valley, CA 95470",,,2015-10-22,,https://web.archive.org/web/20151022032744/http://www.biodynamicfood.org:80/biodynamic/frey-vineyards-ltd,"Frey Vineyards, Ltd.",,,,
,"85 Sheehy Court
Napa, CA 94558",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/uve-enterprises-dba-dalla-terra,Dalla Terra,,,,
,"5341 Old River Road
Ukiah, CA 95482",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/dark-horse-vineyard,Dark Horse Vineyard,,,,
,"1195 Westside Road
Healdsburg, CA 95448",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/davero-sonoma-inc,"DaVero Sonoma, Inc.",,,,
,"1791 Olivet Road
Santa Rosa, CA 95401",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/deloach-vineyards,DeLoach Vineyards,,,,
,"9993 Jones Avenue
Durham, CA 95938",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/ditzler-ranch-organics,Ditzler Ranch Organics,,,,
,"170 Lyle Snowden Rd.
Lyle, WA 98635",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/domaine-pouillon,Domaine Pouillon,,,,
,"56046 Riparbella
Pisa,  56046 Italy",,,2015-10-21,,https://web.archive.org/web/20151021235539/http://www.biodynamicfood.org:80/biodynamic/duemani,Duemani,,,,
,"760 E. Santa Maria Street
Santa Paula, CA 93060",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/cafealtura,Cafe Altura,,,,
,"317 Prospect St.
Montrose, PA 18801",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/carlton-farms,Carlton Farms,,,,
,"17201 Nw 40th Street
Raymond, NE 68428",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/common-good-farm,Common Good Farm,,,,
,"20121 Sw Leonardo Lane
Beaverton, OR 97007",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/cooper-mountain-vineyards,Cooper Mountain Vineyards,,,,
,"35 East 8500 South
Victor, ID 83455",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/cosmic-apple-gardens,Cosmic Apple Gardens,,,,
,"55 Wenzels Lane
Hudson, NY 12534",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/cowberry-crossing,Cowberry Crossing,,,,
,"1665 Eastside Road
Jacksonville, OR 97530",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/cowhorn-vineyard-garden,Cowhorn Vineyard & Garden,,,,
,"7 Great North Road
Parry Sound, Ontario P2A 2X8",,,2015-10-22,,https://web.archive.org/web/20151022032734/http://www.biodynamicfood.org:80/biodynamic/crofters-food-ltd,Crofters Food Ltd.,,,,
32 Acres,"219 Mill Street
Rockport, ME 04856, United States",Medicinal Herb Garden and Apothecary | ,"Herbs And Spices,Medicinal Herbs",2015-10-23,,https://web.archive.org/web/20151023010222/http://www.biodynamicfood.org:80/biodynamic/avena-botanicals,Avena Botanicals,207-594-0694,,"Avena Botanicals Herbal Apothecary offers a variety of hand-crafted herbal remedies for supporting the health and well being of our customers.  Most of our products are made with herbs grown and hand-harvested from our own Biodynamic® garden situated on a 32-acre farm in Rockport, Maine.  Avena was founded in 1985 by herbalist and gardener Deb Soule.  In 1995, Avena moved to its current location where Deb was able to design and plant a large organic and Biodynamic herb garden. This beautiful three-acre garden provides an abundance of certified Biodynamic herbs for the apothecary, a classroom for students, nectar-producing flowers for pollinators and a peaceful place for visitors to renew their spirit and find healing in nature.
Cropped: 3 Acres
Total Acreage: 32 Acres",www.avenabotanicals.com/
24 Acres,"9360 SE Eola Hills Rd.
Amity, OR 97101, United States",Biodynamic | Vineyard | Winery | ,"Fruit,Grapes For Wine",2015-10-24,,https://web.archive.org/web/20151024055616/http://www.biodynamicfood.org:80/biodynamic/brooks-vineyard,Brooks Vineyard,(503) 435-1278,,"Brooks Winery came to life in 1998, after founder Jimi Brooks had spent time in France, where he worked with wineries who were using biodynamic farming principles in their vineyards. Seeing parallels between the use of these processes and the resulting healthier, better-tasting fruit, so when he returned to Oregon and started his own label, the awareness that everything growing  in the ground is a reflection of everything else in its environment became a key element of his approach.
This sense of vineyard transparency has been at the heart of the Brooks program from the beginning. “If the vine is happy, the grapes simply taste better.” Jimi once said, “I believe that farming in this way, by keeping the earth alive and the ecosystem intact, is the only way to really achieve that concept of terroir.”
The benefits of biodynamic farming are particularly noticeable in the production of our primary grape varieties, Riesling and Pinot Noir. We believe that, more than with virtually any other cultivar, these varieties have the ability to reflect the terroir in which they were grown to an extent that it would be a disservice to them to use any other farming method that would intrude on what the earth provides.
Although the Brooks estate vineyard was not Demeter certified until 2012, the practices have been in place since 2002. These vines were planted between 1973 and 1977, making them among the oldest vines in the Willamette Valley. 10 acres of vines in this vineyard are planted on their own rootstock, increasing the essence of purity in the fruit harvested from this site.
Life too, like a vineyard, has a cycle. In 2004, Jimi passed away at age 38, leaving his young son Pascal as sole owner of Brooks Wine. Winemaker friends who’d gathered at his memorial service compelled the family to carry on the winery and Jimi’s philosophy. A dozen of Oregon’s top winemakers saw the 2004 vintage through, and in 2005, Chris Williams (Jimi’s assistant) became Head Winemaker; Jimi’s sister, Janie Brooks Heuck, took over the role of Managing Director, completing the circle of Brooks’ core values of friendship, family and spirit. That these values are reflected in the way our farming is handled is no surprise; our appreciation of the interrelatedness of everything in life is why we are so attuned to the precepts of Demeter farming.
Over the past few years, our Ara Riesling has been featured at a dinner at The White House, and our wines have won accolades in all corners of the wine world. Jimi Brooks’ story figured prominently in “American Wine Story,” a film about inspiration and compulsion that was well received at film and wine festivals around the country. We have a new winemaking facility that will be in place in time for the 2014 harvest, and we’re been able to increase the number of outside vineyards we’re able to source grape from, and our relationship with these growers is such that they allow us to be involved in the farming decision throughout the process.
The Brooks tasting room is open all year-round, so we look forward to your stopping by when you’re in the area.
Cropped: 19 Acres
Total Acreage: 24 Acres",www.brookswine.com/
,"10151 County Road Z
Nekoosa, WI 54457, USA",,"Fruit,Cranberries",2017-11-22,nkarris@wtrm.com,https://web.archive.org/web/20171122095136/http://www.biodynamicfood.org:80/biodynamic/nekoosa-marsh,Nekoosa Family Farms,312-521-9342,,"Green Belle Biodynamic organic cranberries are holistically cultivated and gently harvested on a spring-fed Wisconsin family farm to ensure superior quality and taste. These native American berries are packed with antioxidants; studies show cranberries may improve digestion, reduce infections and lessen certain cancer risks. A wonderful autumn treat-perfect for holiday sauces, relishes, compotes, muffins, breads and smoothies.
Freeze fresh cranberries in the bag for year round availability!",vimeo.com/25512160
200 Acres,"7130 Smullin Road
Mt. Hood, OR 97041, United States",Farm | ,"Fruit,Apples,Pears,Quinces",2015-10-23,,https://web.archive.org/web/20151023082858/http://www.biodynamicfood.org:80/biodynamic/mt-hood-organic-farm,Mt. Hood Organic Farm,541-352-7492,,"Specialty varieties of apples and pears grown at the foot of Mt Hood in Oregon's Hood River Valley. Irrigated with glacial water and picked at the peak of ripeness, our 7 varieties of pears and 43 varieties of apples are known for their superior flavor. We pack and ship our own fruit, which is sold directly at our farm in the fall, at farmers markets, to CSA's and to wholesalers who distribute our fruit across the country. We will soon be shipping packed gift boxes as well.
Although the farm dates to the turn of the century (the main farmhouse was built in 1904), John and Brady Jacobson began working the orchards in 1981. Inspired by European techniques and committed to sustainable land use, the Jacobsons undertook an extensi\ve orchard renovation and transition to organic farming that resulted in full organic certification in 1989 - the first farm in the valley to achieve this status. Numerous publications from The Oregonian to the Good Fruit Grower have written articles about the farm, and the BBC and PBS have also interviewed and filmed here.
As better reflects their view of the importance of the integration of the natural landscape and wildlife into their farming practices, and returning to the deeper origins of the organic movement, Brady and John have now become Biodynamic® growers. They also take pride in selling directly to loyal customers of the farm, as well as to regional markets, and donate a portion of their produce to School Aid®, a program in partnership with local markets and the Oregon Food Bank.
Mt. Hood Organic Farms is a unique, secluded, spectacular natural setting for hosting your one or two day weekend wedding retreat. Let your friends and families enjoy the most gorgeous mountain views (Mt Hood, Mt Adams & Mt Rainier) and gardens in the area and relax on our park-like grounds with orchards, fields, ponds, woods, and a lake. Lodging is available for up to six people in our Guest Cottage and Carriage House and maximum number of guests is 200.
The farm creates the feeling that for a day or two time has been stopped and rolled back to a different era. Unique and historic architecture in a magnificent setting coupled with fresh, organic, seasonal, farm-to-table dinners, prepared by our amazing chef make for a most memorable event. Dinners are served in our Apple House, a unique indoor/outdoor space with amazing views of Mt Hood, or on the lawn. Our staff is superb and the sense is one of family and connection.
Mt. Hood Organic Farms has been chosen twice as the Best Northwest Destination Wedding Site by Oregon Bride, and was designated this summer by MSN and The Knot as one of the most amazing wedding venues in the world. Our weddings have also been featured in numerous magazines and on blogs. You can also see more current information and photos from this season on Mt. Hood Organic Farms' Facebook page.
Cropped: 50 Acres
Total Acreage: 200 Acres",www.mthoodorganicfarms.com
,"5311 Midway
Richvale, CA 95974-0369",,,2015-10-24,,https://web.archive.org/web/20151024055801/http://www.biodynamicfood.org:80/biodynamic/lundberg-family-farms,Lundberg Family Farms,,Other Plant Products,,
