acreage,address,category,crops,date,email,name,phone,processed_products,profile,short_description,website
200 Acres,"7130 Smullin Road
Mt. Hood, OR 97041, United States",Farm | ,"Fruit,Apples,Pears,Quinces",20151023,,Mt. Hood Organic Farm,7,,"Specialty varieties of apples and pears grown at the foot of Mt Hood in Oregon's Hood River Valley. Irrigated with glacial water and picked at the peak of ripeness, our 7 varieties of pears and 43 varieties of apples are known for their superior flavor. We pack and ship our own fruit, which is sold directly at our farm in the fall, at farmers markets, to CSA's and to wholesalers who distribute our fruit across the country. We will soon be shipping packed gift boxes as well.
Although the farm dates to the turn of the century (the main farmhouse was built in 1904), John and Brady Jacobson began working the orchards in 1981. Inspired by European techniques and committed to sustainable land use, the Jacobsons undertook an extensi\ve orchard renovation and transition to organic farming that resulted in full organic certification in 1989 - the first farm in the valley to achieve this status. Numerous publications from The Oregonian to the Good Fruit Grower have written articles about the farm, and the BBC and PBS have also interviewed and filmed here.
As better reflects their view of the importance of the integration of the natural landscape and wildlife into their farming practices, and returning to the deeper origins of the organic movement, Brady and John have now become Biodynamic® growers. They also take pride in selling directly to loyal customers of the farm, as well as to regional markets, and donate a portion of their produce to School Aid®, a program in partnership with local markets and the Oregon Food Bank.
Mt. Hood Organic Farms is a unique, secluded, spectacular natural setting for hosting your one or two day weekend wedding retreat. Let your friends and families enjoy the most gorgeous mountain views (Mt Hood, Mt Adams & Mt Rainier) and gardens in the area and relax on our park-like grounds with orchards, fields, ponds, woods, and a lake. Lodging is available for up to six people in our Guest Cottage and Carriage House and maximum number of guests is 200.
The farm creates the feeling that for a day or two time has been stopped and rolled back to a different era. Unique and historic architecture in a magnificent setting coupled with fresh, organic, seasonal, farm-to-table dinners, prepared by our amazing chef make for a most memorable event. Dinners are served in our Apple House, a unique indoor/outdoor space with amazing views of Mt Hood, or on the lawn. Our staff is superb and the sense is one of family and connection.
Mt. Hood Organic Farms has been chosen twice as the Best Northwest Destination Wedding Site by Oregon Bride, and was designated this summer by MSN and The Knot as one of the most amazing wedding venues in the world. Our weddings have also been featured in numerous magazines and on blogs. You can also see more current information and photos from this season on Mt. Hood Organic Farms' Facebook page.
Cropped: 50 Acres
Total Acreage: 200 Acres","
           “We took a late evening stroll to the frozen pond to marvel at the immensity of the constellations above. In the morning, we watched the sun rise and dance across the mountain and saw the geese departing to begin their day. Mt. Hood Organic Farms is a very sacred space. Thank you for the memories.”
           ",www.mthoodorganicfarms.com
,"5311 Midway
Richvale, CA 95974-0369",,,20151024,,Lundberg Family Farms,5,Other Plant Products,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"415 W Seven Stars Road
Phoenixville, PA 19460, United States",,"Vegetables,Beetroot,Broccoli,Carrots,Courgette,Cucumbers,Garlic,Leek,Melons,Okra,Pepper Capsicum,Pumpkin,Tomatoes,Watermelons,Herbs And Spices,Basil,Mustard,Parsley,Legumes,Beans,Peas Green,Seeds And Seedlings,Vegetable Seeds,Other Crops,Flowers,Other Annual Crops",20151023,,Kimberton CSA,4,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
200 Acres,"5100 SouthEast Rice Lane
Amity, OR 97101, United States",Vineyard | Winery | ,"Fruit,Grapes For Wine",20151023,,Keeler Estate Vineyard,5,,"Keeler Estate Vineyard is located in the Willamette Valley of Oregon, with the snow capped Cascade Mountains to the East and the spectacular Coast of the Pacific Ocean to the West. The vineyard is part of the Eola-Amity AVA (American Viticultural Area), a wine region blessed with the cooling afternoon Van Duzer Winds from the ocean during the warm ripening season. This helps retain good acidity and balance in the fruit we grow in the volcanic, shallow soils of the area.
Our story begins in 1989 when Craig and Gabriele Keeler were searching for properties to begin a new chapter in their lives and decided to take a walk through a picturesque hillside in Amity, Oregon. When Gabriele saw, on this long time abandoned, overgrown with blackberries, piece of land, the view to the south with views of Mary's Peak and Oregon's coastal mountains she grabbed Craig's hand and said ""CK, this is the place!"".  In 1990 the Keeler family moved to their 200 acre property and through many years of hard work they transformed what was once fields of blackberry's, rocky terrain and dilapidated structures to what is today; a home and Keeler Estate Vineyard.  It's a truly magical place consisting of a thriving biodynamic vineyard, gardens, forest, lakes, streams, acres of landscaping and plenty room for entertaining.  You'll not want to miss an opportunity to visit us during our annual open house.  Open by appointment or for special events only.  Contact Gabriele at info@keelerestatevineyard.com.
Cropped: 36 Acres
Total Acreage: 200 Acres","
           “Keeler Estate Vineyard, using sustainable practices to create wines with a strong sense of place.”
           ",www.keelerestatevineyard.com
1800 acres Acres,"Route 1, 4473 55th Avenue SE
Medina, ND 58467, United States",Farm | ,"Grains,Barley,Rye,Wheat,Fodder And Grassland,Fodder Crops,Oil Crops,Flax",20151023,,Kirschenmann Family Farms,R,,"Kirschenmann Family Farms is a diversified small grain and livestock farm located in South Central North Dakota.  It began its transition to an organic farm in 1976 and became certified Biodynamic in 1982.  The farm has a long-standing relationship with Rockwell Organic which markets most of its grain and now has a Biodynamic wheat flour on the market made exclusively from our farm's wheat.
Cropped: 870 acres Acres
Total Acreage: 1800 acres Acres","
           “Rudolf Steiner reminded us to manage a farm like an 'organism' and to 'constantly pay attention to the inner workings of nature.' ”
           ",
,"3810 Rose Street
Schiller Park, IL 60176, United States",Grower / Shipper | Wholesale Organic Distributor | Organic Food Producer and Vendor | ,,20160820,ken@sun-belle.com,Sun Belle,3,"Packed Fruit And Vegetables,Packed Fruit","Maintaining its leadership position as a premium global berry brand that is known across the planet, visionary Sun Belle President and founder Janice Honigberg decided many years ago to begin offering organic berries under the Green Belle label.  Today, Sun Belle continues to lead the way by meeting the needs of the most discerning and judicious berry consumer.  It is the first to offer fresh Green Belle Biodynamic berries.","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.sun-belle.com
,"3810 Rose Street
Schiller Park, IL 60176, United States",Grower / Shipper | Wholesale Organic Distributor | Organic Food Producer and Vendor | ,,20160921,ken@sun-belle.com,Sun Belle,3,"Packed Fruit And Vegetables,Packed Fruit","Maintaining its leadership position as a premium global berry brand that is known across the planet, visionary Sun Belle President and founder Janice Honigberg decided many years ago to begin offering organic berries under the Green Belle label.  Today, Sun Belle continues to lead the way by meeting the needs of the most discerning and judicious berry consumer.  It is the first to offer fresh Green Belle Biodynamic berries.","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.sun-belle.com
,"2852 F Lane
Jennings, KS 67643, United States",Biodynamic and Organic Seed Distribution | Farm | Agriculture Education | ,"Grains,Wheat,Fodder And Grassland,Fodder Crops",20170519,deme.stephens@gmail.com,Stephens Farm,2,,"Stephens families of Kansas have been farmers for five generations in the United States, with Bryce and his daughter, Demetria, raising crops and livestock at Stephens Land and Cattle, near Jennings, Kansas.
Turkey Red hard red winter wheat helped farmers prosper in the semi-arid region of northwest Kansas. The Stephens' farm started growing Turkey wheat again in 1994, the same year the farm gained organic certification by the Organic Crop Improvement Association. Stephens Farms crops are now certified Biodynamic by the Demeter Association.
When not farming, Bryce volunteers his time to increase the availability of organic seed as vice-president of the Organic Seed Growers and Trade Association. osgata.org
Demetria works toward similar goals as the secretary of the Organic Crop Improvement Association International, inc. ocia.org
Stephens farms continue to diversify to meet local, regional and national needs. Feel free to contact us about our current crop plans.","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.localharvest.org/stephens-land-cattle-M46995
,"4038 Green Valley School Road
Sebastopol, CA 95472, United States",,"Fruit,Apples,Grapes Table,Olives,Pears,Persimmon,Plums,Raspberries,Vegetables,Yams,Herbs And Spices,Basil,Burdock Root,Calendula,Chamomile,Evening Primrose,Herbs,Hyssop,Lavender,Lemon Balm,Medicinal Herbs,Nettle,Rose,Rosemary,Sage,Thyme,Valerian,Verbena,Oil Crops,Flax,Safflower,Sunflowers,Other Crops,Flowers",20170519,www.sophiasgardenherbs.com/,Sophia's Garden,4,"Cosmetic And Personal Care Products,Other Body Care Products","Sophia's Garden & Healing Arts Center is a Demeter-certified Biodynamic medicinal herb farm in Sebastopol, California.  We supply estate-grown hydrosols, essential oils, medicinal herbs, flower essences, and we are a biodynamic certified plant distillery.
Sophia is the Wisdom that underlies Nature.  She informs through form.  And so She did in these Gardens that bear Her Name.  By honoring Sophia we adopt a holistic healing approach to our interaction with the environment, recognizing the value of the arts in supporting such an approach.  Sacred geometry is mirrored throughout the land. There are 6 acres of medicinal herbs grown here, from clary sage to helichrysum, lemon verbena, rose geranium and more (see list below for additional crops).
For more than ten years, Monique Camp has stewarded Sophia’s Garden.   Her daily practice is three-fold: to ask what is needed, to listen, and then to take action. This was the way in which Sophia’s Garden was set in motion and how it continues to evolve.
In addition to offering Biodynamic Hydrosols, Essential Oils and dried medicinal herbs, this is a healing, teaching garden. We serve the greater community by establishing a demonstration and model garden/farm.  We offer classes and events to teach about the practices of Biodynamic Agriculture as a path for healing the earth and ourselves.  We also host and offer sacred music, movement and meditation courses.","
           “Welcome to Sophia’s Garden, a botanical treasury of Estate-Grown Hydrosols.  Sophia is the Greek word for Wisdom, used here in the sense of honoring the profound wisdom underlying Nature & the Cosmos.”
           
         ",
,"1004 Clinton Street
Napa, CA 94559, United States",,,20170519,,Smith Anderson Wine Group,1,"Wine,Wine Red",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
80 Acres,"8080 Orcutt Road
San Luis Obispo, CA 93401, United States",Vineyard | ,"Fruit,Grapes For Wine",20170519,slidehill@gmail.com,Slide Hill Vineyard,8,,"Slide Hill Vineyard sustainably grows Syrah, Grenache, Pinot Noir and a couple other varieties in the Edna Valley of San Luis Obispo County and is Demeter Biodynamic certified.
In September 2013, my siblings and I purchased the former Sawyer-Lindquist Vineyard. The old owners kept their name and we renamed it to Slide Hill Vineyard. Slide Hill is the mountain 2½ miles north and at 2200 feet elevation watches over our vineyard from its perch in the Santa Lucia mountain range.
Starting in 2014, we will be selling our grapes to some of the area's finest winemakers including:  Qupe, Denner, Herman Story, Villa Creek, Nicora, Torrin and Verdad.
Cropped: 39 Acres
Total Acreage: 80 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.slidehill.com
,"1732 Topanga Skyline Dr.
Topanga, CA 90290, United States",,"Fruit,Mulberries,Vegetables,Beetroot,Carrots,Dandelion,Kale,Lettuce,Pepper Capsicum,Radishes Red,Spinach,Herbs And Spices,Allspice,Bay Leaf,Chamomile,Fennel Spice,Marjoram,Mint,Mustard,Nettle,Parsley,Pepper Spice,Rosemary,Sage,Thyme,Valerian,Legumes,Beans,Other Crops,Other Annual Crops",20170519,,Skyline Organic Farms,1,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
10 Acres,"8880 Worden Hill Road
Dundee, OR 97115, United States",Biodynamic | Farm | Vineyard | ,"Fruit,Grapes For Wine",20170519,Ryan@REXHILL.com,Sims Vineyard,8,,"The Sims Vineyard sits in the heart of the Dundee Hills between 600 and 700 feet in elevation. It was once an old hazelnut orchard, but as hazelnuts became unviable in the late 1990s, it made sense that the orchard become a vineyard. On the 10-acre property there are 7.5 acres planted to Pinot Noir grapes with the remaining acreage set aside for gardens. Within the gardens still remain a few hazelnut trees keeping the legacy alive. The Dundee Hills were formed between 6 and 17 million years ago by the Columbia River lava flows that made its way from the Oregon-Idaho border all the way to the coast. The lava solidified to form basalt. Over the years the rock weathered away in the high rainfalls of the Willamette Valley to form deep red clay soils. These volcanic soils are exceptionally good for growing grapes, particularly Pinot Noir.
Cropped: 7.5 Acres
Total Acreage: 10 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.REXHILL.com
,"501 West Seven Stars Road
Phoenixville, PA 19460, United States",,"Legumes,Clover,Soy Beans,Grains,Oats,Rye,Spelt,Sweet Corn,Triticale,Fodder And Grassland,Fodder Crops,Grassland,Other Crops,Other Annual Crops",20170519,,Seven Stars Dairy Farm,5,"Milk Products And Milk Replacers,Milk Cow Full Fat",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"11505 Perpetual Drive
Odessa, FL 33556, United States",,,20160918,www.seitenbacher.com,Seitenbacher America LLC,1,"Frozen Bakery Products,Oils And Fats,Olive Oil,Sunflower Seed Oil,Other Oils",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
175 Acres,"4285 North Pacific Highway (99w)
Rickreall, OR 97371, United States",Vineyard | Winery | ,"Fruit,Grapes For Wine,Fodder And Grassland,Fodder Crops",20151023,,Johan Vineyards,4,"Wine,Wine Red,Wine White","We are diligent. Our wines are inspired. We believe Oregon is a special place to make wine and we believe in our vineyards. We admire Burgundy, but we are not French and neither are our wines. We are not certain why we do everything we do, we can only say with confidence that we love wine and feel compelled to be involved.  The work of others in this field inspires us to continue our journey to produce Oregonian wines. In return we hope to inspire others with our work.
Rather than striving for a stylistic preference, we seek balance and energy in our wines. This energy is a mystery to us and we seek to understand and harness it. Our observations lead us to believe this energy exists in wines that are made from organic fruit sources combined with wild fermentations and minimal intervention. For this reason we farm our vineyards and craft our wines using organic and Biodynamic® methods.
We are educated in Enology, Viticulture, and International Business. Our training is used as a tool when needed. We work with determination, integrating our experience into the vineyard and winery to achieve harmony. Our method of work is largely philosophically based. Our decisions are guided by both instinct and observation. We believe that diversity in the biological ecosystem of the vineyard and winery is essential to achieve a true expression of terroir in wine.
Terroir is our guiding principle. We believe in letting nature take its course, but also view the dynamic of a vineyard and winery as being something that requires human involvement to form a unified system. Our goal is to understand and sustain the unity of this system in order to create original and compelling wines with a distinct sense of place. Our place is Johan Vineyards.
Cropped: 62 Acres
Total Acreage: 175 Acres","
           “To me, biodynamic farming is a strive to avoid monoculture and promote the diversity of the whole farm through plant-, microbial-, insect- and animal diversity”
           ",www.johanvineyards.com
