acreage,address,business,crops,date,email,link,name,phone,processed_products,profile,state,vineyard,website,winery
,"10700 Broadway Road
Moorpark, CA 93021, United States",Biodynamic | Farm | ,"Fruit,Apples,Apricots,Avocados,Blackberries,Blueberries,Cherimoya Annona Cherimola,Cherries,Figs,Grapefruit,Guava,Kumquats,Lemons,Lime,Mandarins,Mulberries,Nectarines,Oranges,Passion Fruit,Peaches,Persimmon,Plums,Pomegranates,Strawberries,Nuts,Macadamia Nuts,Walnuts,Fodder And Grassland,Grassland,Other Crops,Other Annual Crops",2015-01-05,,https://web.archive.org/web/20150105045517/http://www.biodynamicfood.org:80/biodynamic/apricot-lane-farms,Apricot Lane Farms,,,"Farmers John and Molly Chester lead Apricot Lane Farms in practicing organic and biodynamic farming techniques to create healthy soils that in turn produce nutrient dense foods. We do this without the use of pesticides and harmful chemical inputs on our plants and trees. We never feed our animals hormones, antibiotics, soy or GMOs. Resting on over 200 acres of beautiful rolling countryside, we are just 45 minutes north of Los Angeles and 25 minutes east of Ventura, CA.",CA,,www.apricotlanefarms.com,
,"1931 Route 9
Germantown, NY 12526, United States",Wholesale Organic Distributor | ,"Fruit,Apples,Blackberries,Blueberries,Currants Black,Gooseberries,Raspberries,Strawberries,Vegetables,Asparagus,Beetroot,Broccoli,Brussels Sprouts,Cabbage,Carrots,Cauliflower,Celery,Chicory Root,Chinese Cabbage,Cucumbers,Dandelion,Endive,Eggplant,Garlic,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Okra,Parsnips,Peas Green,Pepper Capsicum,Potatoes,Pumpkin,Radicchio,Radishes Red,Rhubarb,Shallots,Spinach,Sweet Potatoes,Tomatoes,Turnips,Herbs And Spices,Basil,Chives,Cress,Dill,Fennel Spice,Lemon Balm,Mint,Mustard,Oregano,Parsley,Sage,Savory,Tarragon,Thyme,Legumes,Beans,Oil Crops,Sunflowers,Other Crops,Flowers",2015-10-23,,https://web.archive.org/web/20151023010157/http://www.biodynamicfood.org:80/biodynamic/angello-s-distributing-inc,"Angello's Distributing, Inc.",518-537-7900,"Meat And Eggs,Pork,Packed Fruit And Vegetables,Box Scheme Fruit And Vegetables",,NY,,angellosdistributing.com,
,"1650 Corporate Circle Suite 200
Petaluma, CA 94955",,,2015-10-23,,https://web.archive.org/web/20151023010151/http://www.biodynamicfood.org:80/biodynamic/amy-s-kitchen,Amy's Kitchen,,"Frozen Convenience Products,Frozen Ready Meals",,CA,,,
82 Acres,"312 North Ninth St.
Lompoc, CA 93436, United States",Winery | ,"Fruit,Grapes For Wine",2015-10-23,,https://web.archive.org/web/20151023010146/http://www.biodynamicfood.org:80/biodynamic/ampelos-vineyards,Ampelos Cellars,805-736-9957,,"Ampelos is the greek word for vine. Soil. Vines. Wines.  This is the order in which we do business. Waking up from the dream is the real belief that a farmer must know his fruit, and we are resolute in our passion to produce hands on, minimally invasive wines that both whisper and shout about the terroir from which they are grown.  Our vineyard is one of the first to be certified sustainability in practice, organic and biodynamic.  Our commitment to eco-friendly, natural farming and winemaking is evident in every sip.
Please join us at our tasting room in the Lompoc Wine Ghetto or at The Wine Saloon in Los Alamos, CA.
Cropped: 25 Acres
Total Acreage: 82 Acres",CA,True,ampeloscellars.com,True
42 Acres,"510 Sequoia Lane
Templeton, CA 93465, United States",Vineyard | Farm | Winery | ,"Fruit,Grapes For Wine,Olives",2015-10-23,,https://web.archive.org/web/20151023010141/http://www.biodynamicfood.org:80/biodynamic/ambyth-estate,AmByth Estate,805-305-9497,"Wine,Wine Red,Wine Rosé,Wine White","AmByth Estate (welsh) ""forever"" is owned by a  husband and wife farming and winemaking team in the Paso Robles AVA (CA). We farm our vines, olive trees, and gardens and raise our animals and bees based on Biodynamic principles. We make Demeter certified wine, with zero added sulfites that are aged in amphora, stainless steel and neutral oak. We produce Rhone wines: single varietals and blends (white, orange, rose, and red) and Sangiovese, Tempranillo and Zinfandel.
Our Philosophy: A love of the land. A joy of life.
Cropped: 17 Acres
Total Acreage: 42 Acres",CA,True,www.ambythestate.com,True
,"5401 South Wentworth, Unit 19
Chicago, IL 60609, United States",Organic Beverages | Biodynamic | ,,2015-05-14,www.ambassadororganics.com,https://web.archive.org/web/20150514111746/http://www.biodynamicfood.org:80/biodynamic/good-food-organics,Ambassador Organics,773-536-5300,"Coffee And Instant Beverages,Cocoa Ground,Decaffeinated Coffee,Roasted Coffee Ground,Roasted Coffee Whole,Oils And Fats,Olive Oil,Tea,Herbal Tea,Green Tea,White Tea,Speciality Teas,Tea Mixtures","The Ambassador Organics™ brand consists of premium organic foods made from the finest certified organic and Biodynamic® products and ingredients available in the world. Ambassador Organics™ directly participates in providing farmers with markets in which they can maintain the dignity of their work and the integrity of their farm. The company translates these values into great tasting and convenient products that respect the time pressures and lifestyles of American consumers. The brand also reflects the economic, social and philosophical commitment to doing well while doing good. It functions as a transparent financial engine that respects and promotes the source of food and its producers.",IL,,,
,"14450 Camino Del Arroyo
Guerneville, CA 95445",,,2015-10-22,,https://web.archive.org/web/20151022184738/http://www.biodynamicfood.org:80/biodynamic/quantum-culture,Quantum Culture,,,,CA,,,
,"4900 West Dry Creek Road
Healdsburg, CA 95448",,,2015-10-22,,https://web.archive.org/web/20151022184738/http://www.biodynamicfood.org:80/biodynamic/quivira-vineyards-winery,Quivira Vineyards & Winery,,,,CA,True,,True
,"4665 Santa Maria Mesa Road
Santa Maria, CA 93454",,,2015-10-22,,https://web.archive.org/web/20151022184738/http://www.biodynamicfood.org:80/biodynamic/qupe-verdad-wine-cellars,Qupe/Verdad Wine Cellars,,,,CA,,,
187 Acres,"Villa Nueva
Naranjito, Puntarenas, Costa Rica",,"Herbs And Spices,Allspice,Basil,Cardamom,Cinnamon,Curcuma,Ginger,Hibiscus,Oregano,Pepper Spice,Vanilla,Other Crops,Cocoa,Other Permanent Crops",2015-10-23,,https://web.archive.org/web/20151023010136/http://www.biodynamicfood.org:80/biodynamic/alquimia-agricola,Alquimia Agricola,506-2232-8552,,"Cropped: 37 Acres
Total Acreage: 187 Acres",,,,
,"2660 Blue Horizon Road
Sedona, AZ 86336",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/pacari-chocolate,Pacari Chocolate,,,,AZ,,,
,"4650 S 5500 W
Victor, ID 83455",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/paradise-springs-farm,Paradise Springs Farm,,,,ID,,,
,"26567 North Road
Hotchkiss, CO 81419",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/peak-spirits-farm-distillery,Peak Spirits Farm Distillery,,,,CO,,,
,"9315 Ne Red Hills Road
Dundee, OR 97115",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/pearl-vineyard,Pearl Vineyard,,,,OR,True,,
,"Post Office Box 370
San Miguel, CA 93451",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/pine-hawk-vineyards,Pine Hawk Vineyards,,,,CA,True,,
,"8735 Westside Road
Healdsburg, CA 95448",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/porter-creek-vineyards,Porter Creek Vineyards,,,,CA,True,,
,"11750 Mays Canyon Road
Guerneville, CA 95446",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/porter-bass-vineyards,Porter-Bass Vineyards,,,,CA,True,,
,"25 Mile Marker  Kamehmeha Highway
Kaunakakai, HI 96748",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/pu-u-o-hoku-ranch-ltd,Pu'u O Hoku Ranch Ltd.,,,,HI,,,
,"Buenos Aires 68   (5500) Godoy Cruz Mendoza, Mendoza  Argentina
",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/puerto-ancona-s-a,Puerto Ancona S.A.,,,,,,,
,"1421 Chiquita Road
Healdsburg, CA 95448",,,2015-10-22,,https://web.archive.org/web/20151022184732/http://www.biodynamicfood.org:80/biodynamic/puma-springs-vineyards,Puma Springs Vineyards,,,,CA,True,,
,"555 College Avenue
Angwin, CA 94508, United States",,"Fruit,Grapes For Wine",2015-01-05,,https://web.archive.org/web/20150105045512/http://www.biodynamicfood.org:80/biodynamic/adamvs,ADAMVS,707-965-0516,,,CA,True,,
,"Post Office Box 610
Quitman, TX 75783",,,2015-10-22,,https://web.archive.org/web/20151022184727/http://www.biodynamicfood.org:80/biodynamic/omica-organics-llc,"Omica Organics, LLC",,,,TX,,,
,"43464 Se Phelps Road
Sandy, OR 97055",,,2015-10-22,,https://web.archive.org/web/20151022184727/http://www.biodynamicfood.org:80/biodynamic/oregon-s-wild-harvest,Oregon's Wild Harvest,,,,OR,,,
,"4282 Pleasant Valley Road
Placerville, CA 95667",,,2015-10-22,,https://web.archive.org/web/20151022184722/http://www.biodynamicfood.org:80/biodynamic/narrow-gate-vineyards,Narrow Gate Vineyards,,,,CA,True,,
,"10151 County Road Z
Nekoosa, WI 54457",,,2015-10-22,,https://web.archive.org/web/20151022184722/http://www.biodynamicfood.org:80/biodynamic/nekoosa-marsh,Nekoosa Family Farms,,,,WI,,,
,"2970 Thorn Road
Sebastopol, CA 95472",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/maboroshi-vineyard,Maboroshi Vineyard,,,,CA,True,,
,"22631 Pacific Coast Highway #295
Malibu, CA 90265",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/malibu-compost-llc,"Malibu Compost, LLC",,,,CA,,,
,"9835 West Mc Kinley
Fresno, CA 93723",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/marian-farms,Marian Farms,,,,CA,,,
,"2401 Tinadall Ranch Road
Ukiah, CA 95482",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/mattern-vineyards,Mattern Vineyards,,,,CA,True,,
,"15765 Muddy Valley Road
Mc Minnville, OR 97128",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/maysara-winery,Maysara Winery,,,,OR,,,True
,"120024 Everett Drive
Scottsbluff, NE 69361",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/meadowlark-hearth-dba-richard-everett-farm-llc,Meadowlark Hearth,,,,NE,,,
,"501 Parducci Road
Ukiah, CA 95482",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/mendocino-wine-company,Mendocino Wine Company,,,,CA,,,
,"Post Office Box 69
Barnegat Light, NJ 08006",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/middle-earth-organics,Middle Earth Organics,,,,NJ,,,
,"2355 West Dry Creek Road
Healdsburg, CA 95448",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/montemaggiore,Montemaggiore,,,,CA,,,
,"3663 Sw Dilley Road
Forest Grove, OR 97116",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/montinore-estate,Montinore Estate,,,,OR,,,
,"7130 Smullin Road
Mt. Hood, OR 97041",,,2015-10-22,,https://web.archive.org/web/20151022032820/http://www.biodynamicfood.org:80/biodynamic/mt-hood-organic-farm,Mt. Hood Organic Farm,,,,OR,,,
,"1035 Nw 21st Terrace
Miami, FL 33127",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/lakewood-organic-juices,Lakewood Organic Juices,,,,FL,,,
,"42229 Lamborn Mesa Road
Paonia, CO 81428",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/lamborn-mountain-farmstead,Lamborn Mountain Farmstead,,,,CO,,,
,"4210 Upson Road
Carpinteria, CA 93013",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/las-palmalitas-ranch,Las Palmalitas Ranch,,,,CA,,,
,"2533 Pleasant View Drive
Victor, MT 59875",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/lifeline-farm,Lifeline Farm,,,,MT,,,
,"3502 East Traverse Highway
Traverse City, MI 49684",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/light-of-day-organics,Light of Day Organics,,,,MI,,,
,"25451 East Lane
Covelo, CA 95428",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/live-power-community-farm,Live Power Community Farm,,,,CA,,,
,"6220 Caras Lane
Lolo, MT 59847",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/lolo-locker,Lolo Locker,,,,MT,,,
,"2317 Vine Hill Road
Santa Cruz, CA 95065",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/love-apple-farms,Love Apple Farms,,,,CA,,,
,"Apartado 158 4400 Ciudad Quesada
San Carlos,   Costa Rica",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/luna-nueva-extractos-de-costa-rica,Luna Nueva Extractos de Costa Rica,,,,,,,
,"5311 Midway
Richvale, CA 95974-0369",,,2015-10-22,,https://web.archive.org/web/20151022032815/http://www.biodynamicfood.org:80/biodynamic/lundberg-family-farms,Lundberg Family Farms,,,,CA,,,
,"5100 South East Rice Lane
Amity, OR 97101",,,2015-10-22,,https://web.archive.org/web/20151022032810/http://www.biodynamicfood.org:80/biodynamic/keeler-estate-vineyard,Keeler Estate Vineyard,,,,OR,True,,
,"415 W Seven Stars Road
Phoenixville, PA 19460",,,2015-10-22,,https://web.archive.org/web/20151022032810/http://www.biodynamicfood.org:80/biodynamic/kimberton-csa,Kimberton CSA,,,,PA,,,
,"Route 1, 4473 55th Avenue Se
Medina, ND 58467",,,2015-10-22,,https://web.archive.org/web/20151022032810/http://www.biodynamicfood.org:80/biodynamic/kirschenmann-family-farms,Kirschenmann Family Farms,,,,ND,,,
,"26567 North Road
Hotchkiss, CO 81419",,,2015-10-22,,https://web.archive.org/web/20151022032805/http://www.biodynamicfood.org:80/biodynamic/jack-rabbit-hill-llc,"Jack Rabbit Hill, LLC",,,,CO,,,
,"16625 Ne Hillside Drive
Newberg, OR 97115",,,2015-10-22,,https://web.archive.org/web/20151022032805/http://www.biodynamicfood.org:80/biodynamic/jacob-hart-vineyard,Jacob Hart Vineyard,,,,OR,True,,
,"12141 Hewlitt & Sturtevant Road
Hopland, CA 94559",,,2015-10-22,,https://web.archive.org/web/20151022032805/http://www.biodynamicfood.org:80/biodynamic/jeriko-vineyards-llc,"Jeriko Vineyards, LLC",,,,CA,True,,
,"4285 North Pacific Highway (99w)
Rickreall, OR 97371",,,2015-10-22,,https://web.archive.org/web/20151022032805/http://www.biodynamicfood.org:80/biodynamic/johan-vineyards,Johan Vineyards,,,,OR,True,,
,"555 College Avenue
Angwin, CA 94508",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/adamvs,ADAMVS,,,,CA,,,
,"Villa Nueva
Naranjito, Puntarenas",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/alquimia-agricola,Alquimia Agricola,,,,,,,
,"5401 South Wentworth, Unit 19
Chicago, IL 60609",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/good-food-organics,Ambassador Organics,,,,IL,,,
,"510 Sequoia Lane
Templeton, CA 93465",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/ambyth-estate,AmByth Estate,,,,CA,,,
,"312 North Ninth St.
Lompoc, CA 93436",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/ampelos-vineyards,Ampelos Cellars,,,,CA,,,
,"1650 Corporate Circle Suite 200
Petaluma, CA 94955",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/amy-s-kitchen,Amy's Kitchen,,,,CA,,,
,"1931 Route 9
Germantown, NY 12526",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/angello-s-distributing-inc,"Angello's Distributing, Inc.",,,,NY,,,
,"10700 Broadway Road
Moorpark, CA 93021",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/apricot-lane-farms,Apricot Lane Farms,,,,CA,,,
,"3270 W. Post Road
Las Vegas, NV 89118",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/aqueous-labs-inc,"Aqueous Labs, Inc.",,,,NV,,,
,"2155 Pickett Road
Calistoga, CA 94515",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/araujo-estate,Araujo Estate,,,,CA,,,
,"8020 Hygiene Road
Longmont, CO 80503",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/aspen-moon-farm-llc,"Aspen Moon Farm, LLC",,,,CO,,,
,"219 Mill Street
Rockport, ME 04856",,,2015-05-12,,https://web.archive.org/web/20150512105612/http://www.biodynamicfood.org/biodynamic/avena-botanicals,Avena Botanicals,,,,ME,,,
,"10700 Broadway Road
Moorpark, CA 93021, United States",Biodynamic | Farm | ,"Fruit,Apples,Apricots,Avocados,Cherimoya Annona Cherimola,Cherries,Figs,Grapefruit,Guava,Kumquats,Lemons,Lime,Mandarins,Mulberries,Nectarines,Oranges,Passion Fruit,Peaches,Persimmon,Plums,Pomegranates,Pomelos,Nuts,Macadamia Nuts,Walnuts,Fodder And Grassland,Grassland,Other Crops,Other Annual Crops",2015-10-23,,https://web.archive.org/web/20151023010201/http://www.biodynamicfood.org:80/biodynamic/apricot-lane-farms,Apricot Lane Farms,,,"Farmers John and Molly Chester lead Apricot Lane Farms in practicing organic and biodynamic farming techniques to create healthy soils that in turn produce nutrient dense foods. We do this without the use of pesticides and harmful chemical inputs on our plants and trees. We never feed our animals hormones, antibiotics, soy or GMOs. Resting on over 200 acres of beautiful rolling countryside, we are just 45 minutes north of Los Angeles and 25 minutes east of Ventura, CA.",CA,,www.apricotlanefarms.com,
,"1650 Corporate Circle Suite 200
Petaluma, CA 94955",,,2015-11-23,,https://web.archive.org/web/20151123100550/http://www.biodynamicfood.org:80/biodynamic/amy-s-kitchen,Amy's Kitchen,,"Frozen Convenience Products,Frozen Ready Meals",,CA,,,
,"5401 South Wentworth, Unit 19
Chicago, IL 60609, United States",Organic Beverages | Biodynamic | ,,2017-12-19,www.ambassadororganics.com,https://web.archive.org/web/20171219103604/http://www.biodynamicfood.org:80/biodynamic/good-food-organics,Ambassador Organics,773-536-5300,"Coffee And Instant Beverages,Cocoa Ground,Decaffeinated Coffee,Roasted Coffee Ground,Roasted Coffee Whole,Oils And Fats,Olive Oil,Tea,Herbal Tea,Green Tea,White Tea,Speciality Teas,Tea Mixtures","The Ambassador Organics™ brand consists of premium organic foods made from the finest certified organic and Biodynamic® products and ingredients available in the world. Ambassador Organics™ directly participates in providing farmers with markets in which they can maintain the dignity of their work and the integrity of their farm. The company translates these values into great tasting and convenient products that respect the time pressures and lifestyles of American consumers. The brand also reflects the economic, social and philosophical commitment to doing well while doing good. It functions as a transparent financial engine that respects and promotes the source of food and its producers.",IL,,,
,"501 White Cottage Road North
Angwin, CA 94508, United States",,"Fruit,Grapes For Wine",2015-10-23,,https://web.archive.org/web/20151023010131/http://www.biodynamicfood.org:80/biodynamic/adamvs,ADAMVS,707-965-0516,,,CA,True,,
,"501 White Cottage Road North
Angwin, CA 94508",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/adamvs,ADAMVS,,,,CA,,,
,"Villa Nueva
Naranjito, Puntarenas",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/alquimia-agricola,Alquimia Agricola,,,,,,,
,"5401 South Wentworth, Unit 19
Chicago, IL 60609",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/good-food-organics,Ambassador Organics,,,,IL,,,
,"510 Sequoia Lane
Templeton, CA 93465",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/ambyth-estate,AmByth Estate,,,,CA,,,
,"312 North Ninth St.
Lompoc, CA 93436",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/ampelos-vineyards,Ampelos Cellars,,,,CA,,,
,"1650 Corporate Circle Suite 200
Petaluma, CA 94955",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/amy-s-kitchen,Amy's Kitchen,,,,CA,,,
,"1931 Route 9
Germantown, NY 12526",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/angello-s-distributing-inc,"Angello's Distributing, Inc.",,,,NY,,,
,"10700 Broadway Road
Moorpark, CA 93021",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/apricot-lane-farms,Apricot Lane Farms,,,,CA,,,
,"3270 W. Post Road
Las Vegas, NV 89118",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/aqueous-labs-inc,"Aqueous Labs, Inc.",,,,NV,,,
,"2155 Pickett Road
Calistoga, CA 94515",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/araujo-estate,Araujo Estate,,,,CA,,,
,"8020 Hygiene Road
Longmont, CO 80503",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/aspen-moon-farm-llc,"Aspen Moon Farm, LLC",,,,CO,,,
,"219 Mill Street
Rockport, ME 04856",,,2015-10-21,,https://web.archive.org/web/20151021234008/http://www.biodynamicfood.org:80/biodynamic/avena-botanicals,Avena Botanicals,,,,ME,,,
,"10700 Broadway Road
Moorpark, CA 93021, United States",Biodynamic | Farm | ,"Fruit,Apples,Apricots,Avocados,Cherimoya Annona Cherimola,Cherries,Figs,Grapefruit,Guava,Kumquats,Lemons,Lime,Mandarins,Mulberries,Nectarines,Oranges,Passion Fruit,Peaches,Persimmon,Plums,Pomegranates,Pomelos,Nuts,Macadamia Nuts,Walnuts,Fodder And Grassland,Grassland,Other Crops,Other Annual Crops",2015-11-23,,https://web.archive.org/web/20151123100648/http://www.biodynamicfood.org:80/biodynamic/apricot-lane-farms,Apricot Lane Farms,,,"Farmers John and Molly Chester lead Apricot Lane Farms in practicing organic and biodynamic farming techniques to create healthy soils that in turn produce nutrient dense foods. We do this without the use of pesticides and harmful chemical inputs on our plants and trees. We never feed our animals hormones, antibiotics, soy or GMOs. Resting on over 200 acres of beautiful rolling countryside, we are just 45 minutes north of Los Angeles and 25 minutes east of Ventura, CA.",CA,,www.apricotlanefarms.com,
,"5511 East Valley Road
Alfred Station, NY 14803",,,2015-10-22,,https://web.archive.org/web/20151022184814/http://www.biodynamicfood.org:80/biodynamic/yellow-barn-farm,Yellow Barn Farm,,,,NY,,,
,"5401 South Wentworth, Unit 19
Chicago, IL 60609, United States",Organic Beverages | Biodynamic | ,,2017-12-20,www.ambassadororganics.com,https://web.archive.org/web/20171220164905/http://www.biodynamicfood.org:80/biodynamic/good-food-organics,Ambassador Organics,773-536-5300,"Coffee And Instant Beverages,Cocoa Ground,Decaffeinated Coffee,Roasted Coffee Ground,Roasted Coffee Whole,Oils And Fats,Olive Oil,Tea,Herbal Tea,Green Tea,White Tea,Speciality Teas,Tea Mixtures","The Ambassador Organics™ brand consists of premium organic foods made from the finest certified organic and Biodynamic® products and ingredients available in the world. Ambassador Organics™ directly participates in providing farmers with markets in which they can maintain the dignity of their work and the integrity of their farm. The company translates these values into great tasting and convenient products that respect the time pressures and lifestyles of American consumers. The brand also reflects the economic, social and philosophical commitment to doing well while doing good. It functions as a transparent financial engine that respects and promotes the source of food and its producers.",IL,,,
,"13392 Shenandoah Rd.
Plymouth, CA 95669",,,2016-07-15,,https://web.archive.org/web/20160715180731/http://www.biodynamicfood.org:80/biodynamic/abbondanza,Abbondanza,,,,CA,,,
,"Cr 155, Gate 245
Abiquiu, NM 87510",,,2016-07-15,,https://web.archive.org/web/20160715180731/http://www.biodynamicfood.org:80/biodynamic/abiquiu-valley-farm-llc,Abiquiu Valley Farm LLC,,,,NM,,,
,"501 White Cottage Road North
Angwin, CA 94508",,,2016-07-15,,https://web.archive.org/web/20160715180731/http://www.biodynamicfood.org:80/biodynamic/adamvs,ADAMVS,,,,CA,,,
,"Contrada S.Agostino
Andria (Bt),  76123 Italy",,,2016-07-15,,https://web.archive.org/web/20160715180731/http://www.biodynamicfood.org:80/biodynamic/agrinatura-srl,Agrinatura SRL,,,,,,,
